name,frontColor,backgroundColor,borderThick,borderStyle,borderColor,icon
Cloud,$FONT_COLOR,transparent,1,solid,$FONT_COLOR,homecloud/Element/Cloud
Board,$FONT_COLOR,transparent,1,solid,$FONT_COLOR,homecloud/Element/Board
Network,$FONT_COLOR,transparent,1,dashed,$FONT_COLOR,homecloud/Element/Network
Lock,$FONT_COLOR,transparent,1,solid,$FONT_COLOR,homecloud/Element/Lock
DockerRegistry,$FONT_COLOR,transparent,1,solid,$FONT_COLOR,homecloud/Element/Registry
SwarmContainer,$FONT_COLOR,transparent,1,solid,$FONT_COLOR,homecloud/Element/Container
SwarmStack,$FONT_COLOR,transparent,1,solid,$FONT_COLOR,homecloud/Element/Stack
SwarmService,$FONT_COLOR,transparent,1,solid,$FONT_COLOR,homecloud/Element/Service
Swarm,$FONT_COLOR,transparent,1,solid,$FONT_COLOR,homecloud/Brand/Docker
