Name,FrontColor,FontColorTech,BackgroundColor,BorderThick,BorderStyle,BorderColor,Sprite
Dotted,$COLOR_GREY_FC,$COLOR_GREY_FC_LIGHT,transparent,1,dotted,$COLOR_GREY_BD,
Dashed,$COLOR_GREY_FC,$COLOR_GREY_FC_LIGHT,transparent,1,dashed,$COLOR_GREY_BD,
Transparent,$COLOR_GREY_FC,$COLOR_GREY_FC_LIGHT,transparent,0,solid,transparent,
Plain,$COLOR_GREY_FC,$COLOR_GREY_FC_LIGHT,$COLOR_GREY_BG,1,solid,$COLOR_GREY_BD_LIGHT,
Plain Dotted,$COLOR_GREY_FC,$COLOR_GREY_FC_LIGHT,$COLOR_GREY_BG,1,dotted,$COLOR_GREY_BD,
Plain Dashed,$COLOR_GREY_FC,$COLOR_GREY_FC_LIGHT,$COLOR_GREY_BG,1,dashed,$COLOR_GREY_BD,
Network,$COLOR_NETWORK_TRANSPARENT_BORDER,$COLOR_GREY_FC_LIGHT,transparent,1,dotted,$COLOR_NETWORK_TRANSPARENT_BORDER,VirtualNetworks
