Name,Element
ApplicationSecurityGroups,NetworkingServiceColor/ApplicationSecurityGroups
NetworkSecurityGroups,NetworkingServiceColor/NetworkSecurityGroupsClassic
VirtualNetwork,NetworkingServiceColor/VirtualNetworkClassic
VirtualNetworks,NetworkingServiceColor/VirtualNetworks
DockerContainer,ContainerServiceColor/ContainerInstances
ContainerRegistry,ContainerServiceColor/ContainerRegistries
Kubernetes,ContainerServiceColor/KubernetesServices
