name,front_color,background_color,border_thick,border_style,border_color,icon_reference
Dotted,$FONT_COLOR,transparent,1,dotted,$AZURE_GROUP_BD_DARK,
Dashed,$FONT_COLOR,transparent,1,dashed,$AZURE_GROUP_BD_DARK,
Transparent,$FONT_COLOR,transparent,0,solid,transparent,
Plain,$FONT_COLOR,$AZURE_GROUP_BG_LIGHT,1,solid,$AZURE_GROUP_BD_LIGHT,
Plain Dotted,$FONT_COLOR,$AZURE_GROUP_BG_LIGHT,1,dotted,$AZURE_GROUP_BD_DARK,
Plain Dashed,$FONT_COLOR,$AZURE_GROUP_BG_LIGHT,1,dashed,$AZURE_GROUP_BD_DARK,
Network,$AZURE_BLUE,transparent,1,dotted,$AZURE_BLUE,azure-17/Item/Networking/ServiceVirtualNetworks
