name
Pod
PodTemplate
ReplicationController
ReplicaSet
Deployment
StatefulSet
ControllerRevision
DaemonSet
Job
CronJob
HorizontalPodAutoscaler
PriorityClass
PodScheduling
ResourceClaim
ResourceClaimTemplate
ResourceClass
Service
Endpoints
EndpointSlice
Ingress
IngressClass
ConfigMap
Secret
Volume
PersistentVolumeClaim
PersistentVolume
StorageClass
VolumeAttachment
CSIDriver
CSINode
CSIStorageCapacity
ServiceAccount
TokenRequest
TokenReview
CertificateSigningRequest
LocalSubjectAccessReview
SelfSubjectAccessReview
SelfSubjectRulesReview
SubjectAccessReview
SelfSubjectReview
ClusterRole
ClusterRoleBinding
Role
RoleBinding
LimitRange
ResourceQuota
NetworkPolicy
PodDisruptionBudget
CustomResourceDefinition
MutatingWebhookConfiguration
ValidatingWebhookConfiguration
ValidatingAdmissionPolicy
Node
Namespace
Event
APIService
Lease
RuntimeClass
FlowSchema
PriorityLevelConfiguration
Binding
ComponentStatus
ClusterCIDR
DeleteOptions
LabelSelector
ListMeta
LocalObjectReference
NodeSelectorRequirement
ObjectFieldSelector
ObjectMeta
ObjectReference
Patch
Quantity
ResourceFieldSelector
Status
TypedLocalObjectReference
ValidatingAdmissionPolicyBindingList
Cluster
